nome,ingrediente,preparo,sabor
Pudim Sorvete,"- 1 lata de leite condensado
- 1 lata de leite
- 1 lata de creme de leite
- 3 ovos
- 4 colheres( sopa) bem cheia de nescau
- 12 colheres (sopa) de açúcar
- 1 xícara (chá)de açúcar para caramelizar a forma
- 1 colher(sopa) de maisena","Caramelize uma forma de pudim e reserve.
Dissolva 4 colheres de nescau em 4 colheres de água jogue em cima da forma caramelizada e leve para congelar.
Bata no liquidificador o leite moça , a lata de leite , 3 gemas e a maisena depois leve ao fogo até engrossar, mexendo sempre e deixe esfriar.
Na batedeira bata as 3 claras em neve com 12 colheres de açúcar, quando estiver firme adicione o creme de leite sem soro, misture delicadamente este creme com o creme da panela, despeje na forma caramelizada e leve para o congelar novamente.
Coloque por 12hs no congelador, de uma leve aquecida no fundo da forma para desenformar.",d
Abobrinha Gratinada,"- 3 abobrinhas em fatias finas
- 1 pitada de sal
- Pimenta do reino a gosto
- Uma pitada de orégano
- tempero a gosto

- Para o creme
- 4 ovos
- 1 caixinha de creme de leite 200ml
- 1/2 xícara (chá) de leite
- Muçarela ralada ou em fatias á gosto","Preparo do Creme:
Bata todos os ingredientes no liquidificador menos a muçarela e reserve.

Modo de Preparo:
Unte uma forma com um pouco de óleo coloque as abobrinhas ja temperadas e jogue o creme por cima depois acrescente a muçarela ralada ou em fatias e leve ao forno pré aquecido a 180 graus por 30 minutos ou até dourar por cima 
",s
Quiche de Queijo,"Ingredientes da massa:

- 2 xícaras (chá) de farinha de trigo
- 4 colheres (sopa) de manteiga
- meia lata de Creme de Leite
- 1 colher (chá) de fermento em pó

Recheio:
- 2 xícaras (chá) de queijo prato ralado (200 g)
- 2 xícaras (chá) de queijo minas frescal ralado (200g)
- 1 xícara (chá) de queijo parmesão ralado (160 g)
- 4 ovos
- meia lata de Creme de Leite
- 1 pitada de pimenta-do-reino
- 1 pitada de noz-moscada ralada
- 50 g de manteiga em pedaços","Modo de preparo da massa:
Peneire a farinha e coloque a manteiga, o Creme de Leite o fermento. Misture-os com as pontas dos dedos até que fique toda incorporada à massa e que solte completamente das mãos. deixe descansar por cerca de 20 minutos na geladeira. Abra a massa, forre uma forma de aro removível untada, fure o fundo com um garfo e asse em forno médio-alto (200°C) preaquecido por cerca de 20 minutos.

Modo de preparo do recheio:
Misture os queijos, os ovos, o Creme de Leite a pimenta a noz-moscada. Despeje sobre a massa já assada, espalhe por cima pedacinhos de manteiga e volte a torta ao forno médio (180ºC), por cerca de 20 minutos. Sirva quente.",s
Bolo flocão de milho,"- 3 ovos
- 1 e 1/2 xícaras (chá) de açúcar
- 1/2 xícara (chá) de óleo
- 1 xícara de leite ou 1 vidro de leite de coco
- 2 xícaras (chá) de flocão de milho
- 1 xícara(chá) de farinha de trigo
- 1 pacote de coco ralado (100 gramas)
- 1 colher (sopa) rasa de fermento em pó","Bata todos os ingredientes no liquidificador e leve para assar numa forma untada e enfarinhada ao forno pré aquecido por 35 a 40 minuto.
Reserve um pouco de coco ralado para polvilhar o bolo
",d
Bolo de Chocolate com pudim de leite,"Ingredientes da Massa:

- I xícara (chá) de óleo
- 1 xícara (chá) de água
- 3 ovos
- 1 xícara (chá) de chocolate em pó
- 2 ½ xícaras (chá) de farinha de trigo
- 2 xícaras (chá) de açúcar
- 1 colher (sopa) de fermento em pó
Ingredientes do Pudim:
- 3 ovos
- 1 ½ xícara (chá) de leite condensado
- 1 ½ xícara (chá) de leite
- 1 colher (sopa) de farinha de trigo
- 1 colher (chá) de essência de baunilha (opcional)
Para calda:
- 2 xícaras (chá) de açúcar","Modo de Preparo:
Bolo:Em um liquidificador, bata o óleo, a água, os ovos e o chocolate em pó. Em uma tigela, misture a farinha e o açúcar, acrescente a parte liquida e misture com um batedor. Reserve.
Pudim:Em um liquidificador bata todos ingredientes.
Reserve.
Montagem:Em uma panela, derreta o açúcar até ficar em ponto de caramelo. Com cuidado passe o caramelo nas laterais e no centro de uma forma de pudim. Coloque a massa do bolo até a metade da forma, complete despejando a mistura do pudim aos poucos é importante fazer isso, pois se jogar muito rápido o pudim irá se misturar ao bolo depois de assado . Tampe com papel alumínio e leve para assar em banho maria em forno pré-aquecido a 200ºC por aproximadamente 40 minutos ou até o bolo ficar assado.",d
"Arroz de Carreteiro
","- 2 xícaras de arroz
- 1/2 k de carne seca
- meio gomo de linguiça portuguesa
- 1/2 pimentão vermelho picado
- 1/2 pimentão amarelo picado
- 1/2 xícara de salsinha
- 1/2 xícara de azeite ou óleo
- 4 a 5 dentes de alho bem amassados
- 1 cebola pequena picadinha
- 3 xícaras de água
- 1 colher de chá de pimenta calabresa
- Mais tempero a gosto","Lave bem a carne seca e de uma aferventada para tirar um pouco o sal, escorra e coloque mais água para cozinhar até ficar bem macia desfie e reserve.
Coloque o azeite numa panela e acrescente o alho, cebola deixe fritar um pouco , em seguida acrescente a carne e o restante dos ingredientes, menos a água. Refogue muito bem, depois acrescente a água e acerte o sal se precisar. Cozinhar em fogo médio. Depois é só servir esta delícia com uma salada de folhas verdes. 
Bom apetite!",s
"Omelete simples
","- 2 ovos
- 2 tomates picados
- 1/2 cebola picada
- 2 batatas médias cozida com uma pitada de sal (ao dente)
- 3 colheres (sopa) bem cheia de farinha de trigo
- 1/2 colher ( sopa)de fermento em pó
- mussarela a gosto
- tempero a gosto
- azeite ou óleo o quanto baste para fazer o omelete","Frite no azeite as batatas já cozidas e cortadas em rodelas, depois delas fritas jogue por cima o restante dos ingredientes.
Esta receita deu esta porcão que esta na foto.

Dica: Você pode acrescentar presunto também fica muito bom.
Bom apetite!",s
Caldo Verde,"- 6 batatas
- 1 caldo de galinha ou de carne
- 1 1/2 litro de água
- 2 colheres (sopa) de azeite
- 1 páio
- 1 gomo de linguiça portuguesa
- 1/2 maço de couve","Em uma panela, coloque a água, o caldo de galinha ou de carne e as batatas. Após cozinhá-las, passe-as pelo espremedor ou amasse com o auxílio de um garfo. Coloque novamente na panela e adicione o páio e a linguiça portuguesa (fatiados). Cozinhe mais um pouco e acrescente azeite, sal e a couve. Desligue e sirva",s
Bolo de tapioca gelado,"- 1 litro de leite
- 1 xícara de açúcar
- 1 pacote de massa de tapioca granulada de 500 g
- 1 vidro pequeno de leite de coco (200)
- 1 pacote de coco ralado 100 gamas
- 1 lata de leite condensado 395 gramas
- Coco ralado e leite condensado para cobertura","Misture a massa da tapioca em 1 litro de leite quente e deixe descansar por uns 15 minutos, depois misture, meio pacote de coco ralado, o leite condensado e o leite de coco
Coloque a mistura em uma forma refratária
e leve a geladeira por 1 hora e meia depois cobrir com 1 caixinha de 200 gramas leite condensado e o restante do coco ralado
Servir frio",d
Pastel crocante de forno,"
Para 10 pastéis vamos precisar de:
- 10 fatias de pão de forma
- 1 peito de frango
- 4 colheres de sopa de milho
- 1 colher de sopa de extrato de tomate
- 3 colheres de sopa de cream cheese
- 1 colher de sopa de salsinha
- 1 colher de chá de orégano
- sal e pimenta
- 1 ovo
- muçarela ralada","Retire a casca das fatias de pão de forma e amasse-as com um rolo.
Tempere o peito de frango, cozinhe dos dois lados e leve-o ao forno por 12 minutos a 175ºC. 
Desfie o frango e o transfira para um recipiente grande. Adicione milho, extrato de tomate, cream cheese, orégano, salsinha, sal e pimenta e misture bem.
Coloque 1 colher de sopa da mistura em cada fatia de pão.
Dobre as fatias por cima do recheio, formando um triângulo, e pressione as beiradas com um garfo.
Pincele cada pastelzinho com ovo (batido) e coloque um pouco de muçarela por cima.
Asse por 12 minutos a 175ºC",s
"Bolo de Fubá
","- 3 ovos inteiros
- 2 xícaras (chá) de açúcar
- 2 xícaras (chá) de fubá
- 3 colheres (sopa) de farinha de trigo
- 1/2 copo (americano) ou 100 ml de óleo
- 1 copo (americano) ou 200 ml de leite
- 1 colher (sopa) de fermento em pó
- 1 colher de sopa rasa de erva doce","Em um liquidificador, adicione os ovos, o açúcar, o fubá, a farinha de trigo, o óleo, o leite e o fermento, depois bata até a massa ficar lisa e homogênea
Despeje a massa em uma forma untada e polvilhada
Leve para assar em forno médio 180 °C) preaquecido por 30 a 40 minutos dependendo do forno
",d
"Mosaico de Gelatina
","- 4 envelopes de gelatina de sabores diferentes
- 1 lata de leite condensado
- 1 lata de creme de leite
- 200 leite de coco
- 1 envelope de gelatina incolor em pó (12 gramas)","Prepare cada sabor de gelatina separadamente com metade da água pedida na embalagem.
Coloque em refratários e leve à geladeira até firmar.
No liquidificador, bata o leite condensado, o creme de leite, o leite de coco e a gelatina sem sabor preparada de acordo com as instruções da embalagem.

Em uma forma com furo central, levemente untada com óleo, despeje o creme e espalhe as gelatinas cortadas em cubos.

Leve à geladeira até firmar.

Na hora de servir, desenforme e sirva em fatias.",d
"Pudim Prestígio
","Para o Pudim de Chocolate:
- 1 lata de leite condensado (395 gramas)
- 1 caixa de creme de leite (200 gramas)
- 1 xícara de chá (xícara de 200ml) de chocolate em pó
- 1 xícara de chá (xícara de 200 ml) de leite
- 1 envelope (12 gramas) de gelatina sem sabor e incolor


Para o Pudim de Coco:
- 1 lata de leite condensado (395 gramas)
- 1 caixa de creme de leite (200 gramas)
- 1 vidro (200 ml) de leite de coco
- 1 envelope (12 gramas) de gelatina sem sabor e incolor
- 1 pacote de coco ralado (100 gramas)","Para o pudim de chocolate:
Leve ao liquidificador o leite condensado, o creme de leite , o leite. e o chocolate em pó
Por último, hidrate e derreta a gelatina de acordo com as instruções da embalagem. Adicione a gelatina derretida, bata tudo junto e coloque essa mistura em uma forma média com furo no meio.
Leve para gelar por 1 hora na geladeira. ou meia hora no freezer

Para fazer o pudim de coco:
Hidrate e derreta a gelatina de acordo com as instruções da embalagem, leve todos os ingredientes no liquidificador juntos, menos o coco ralado, bata tudo junto, adicione o coco e misture com uma espátula, não precisa bater. Coloque essa mistura na forma por cima do pudim de chocolate.
Leve para gelar novamente, por no mínimo 6 horas. 
Para desenformar, use uma faca para descolar o pudim da forma e se ainda tiver dificuldade, esquente a forma rapidinho no fogão, por apenas alguns segundos, girando para esquentar toda a parte de baixo, e em seguida desenforme.
",d
Mousse de Pitanga,"- 1 copo e meio de 250 ml de polpa de Pitanga
- 1 lata e meia de leite moça
- 1 lata de creme de leite
- 1 envelope de gelatina incolor

Cobertura:
- 1/2 copo de polpa
- 4 a 5 colheres de açúcar","Modo de Preparo do Mousse:
Bata tudo no liquidificador a gelatina dissolvida em 50ml de água quente 

Cobertura:
Leva tudo ao fogo até ferver e ficar uma geleia

Dica: Eu mesma fiz a polpa 5 copos de Pitangas fresca renderam 2 copos de polpa
Retirei os caroços com uma faca e quando estão bem maduras só espremer com os dedos.",d
Bolo de Chocolate com Mousse de Maracujá,"Para a Massa:
- 3 ovos
- 1¼ xícara (chá) de água quente
- ½ xícara (chá) de óleo
- 1 xícara (chá) de açúcar
- 2 xícaras (chá) de farinha de trigo
- 1 xícara (chá) de chocolate em pó
- 1 colher (sopa) de fermento em pó
- 1 colher (chá) de bicarbonato de sódio
- 1 pitada de sal

Para o Mousse:
- 400 ml de suco de maracujá
- 1½ lata de creme de leite
- 1½ lata de leite condensado

Para a Cobertura:
- Polpa de 2 maracujás
- 4 colheres (sopa) de açúcar","Modo de preparo da massa:
Bata no liquidificados os ovos, o açúcar, o óleo e a água quente, bata bem. 
Em um recipiente misture todos os ingredientes secos e coloque a mistura do liquidificador e misture bem.
Coloque em forma untada com óleo e leve para assar em forno a 180°C por cerca de 40 minutos. Espere esfriar e corte em pedaços. 

Para o Mousse:
Bata os ingredientes no liquidificador. Reserve.

Para a Cobertura:
Em uma panela misture a polpa do maracujá com o açúcar, deixe ferver e reserve.

Montagem:
Em um pote do tamanho desejado, coloque uma camada de bolo uma camada de creme, vá intercalando até a parte de cima do pote, finalize com a cobertura. Leve para gelar 1 a 3 horas

*Dica da cobertura*
Depois de ferver eu peneirei para tirar as sementes, porque aqui em casa o meu marido prefere sem a semente, mas pode deixar, se quiserem, fica mais bonito
",d
"Geleia de Pitanga
","- 500 gramas de pitanga
- Açúcar
- Suco de meio limão (opcional)","Tire os cabinhos e lave as pitangas e leve-as ao fogo em uma panela com pouca água, deixando ferver e mexendo devagar. Se começar a secar demais, acrescente um pouco mais de água, mas evite excesso.
Quando estiverem cozidas, retire os caroços com cuidado, usando uma peneira e uma colher. Não ferir as sementes e retirá-las todas evita que a geleia fique amarga.
Leve novamente esta polpa ao fogo e coloque o açúcar, para cada 2 copos de polpa coloque 1 copo de açúcar , e o limão
Mexa de tempo em tempo em fogo baixo até dar o ponto de geleia.",d
"Tomate Seco
","- 6 a 7 tomates maduros cortado ao meio no sentido do comprimento, sem sementes
- 1 colher (sobremesa) de açúcar
- 1 colher (chá) de sal
- Azeite temperado: o suficiente pra cobrir os tomates
- 1 dente de alho picadinho ou 1 colher de (chá) de alho laminado
- 1 colher (sopa) rasa de orégano
- sal a gosto","Numa peneira coloque 6 a 7 tomates cortados ao meio no sentido do comprimento, sem sementes, 1 colher (sobremesa) de açúcar e 1 colher (chá) de sal, misture bem, polvilhe sobre os tomates e deixe escorrer a água por 20 minutos.
Num prato de microondas coloque os tomates (escorridos) com a pele para cima e leve ao microondas em potência alta por 40 a 45 minutos.
A cada 10 minutos ou quando estiver bastante água no prato, retire o prato do microondas e aperte cada tomate com um garfo para sair água e escorra bem. Coloque novamente os tomates no microondas . Repita este procedimento quantas vezes precisar. Após os 40 minutos e se ainda tiver muita água coloque mais uns 5 minutos. Feito isso retire os tomates do microondas e deixe-os esfriarem.
 Depois de frios coloque-os numa tigela (ou vidro esterilizado) e cubra-os com azeite temperado.
Sempre deixe-os cobertos com azeite para conservá-los por mais tempo.

Modo de preparo do Azeite Temperado:
Numa tigela coloque o alho, 1 colher (sopa) rasa de orégano, sal e azeite misture tudo muito bem e cubra os tomates
",s
Bolo com massa de champanhe,"Ingredientes da massa:
- 6 ovos
- meia xícara (chá) de açúcar
- 1 xícara (chá) de champanhe ou espumante
- 2 xícaras (chá) de farinha de trigo
- 1 colher (sopa) de fermento em pó

Ingredientes da Baba de Moça:
- 2 latas de leite moça
- 1 vidro de leite de coco (200ml)
- 6 gemas

Ingredientes da Geleia:
- 3 xícaras (chá) de frutas vermelhas frescas ou congeladas
- meia xícara (chá) de açúcar

Montagem:
- meia xícara (chá) de champanhe ou espumante

Cobertura:
- 3 xícaras (chá) de chantilly
- raspas de chocolate Nestlé Classic Branco
- frutas vermelhas para decorar (opcional)","Massa: Em uma batedeira, bata os ovos até dobrarem de volume, junte o açúcar e bata mais um pouco. Com a batedeira em velocidade mínima adicione a champanhe aos poucos. Desligue e junte delicadamente a farinha de trigo peneirada e o fermento em pó. Coloque a massa em uma forma retangular (30x40cm), untada com manteiga e polvilhada com farinha de trigo, e leve ao forno médio- alto (200°C), preaquecido, por cerca de 30 minutos. Retire do forno, espere amornar e desenforme. Reserve. 

Baba de Moça: 
Em uma panela média, misture bem o Leite MOÇA, o leite de coco e as gemas e leve ao fogo baixo, mexendo sempre, por cerca de 10 minutos ou até que o creme se desprenda do fundo da panela. Retire do fogo e deixe esfriar. Reserve. 

Geleia: Em uma panela pequena, misture as frutas vermelhas, o açúcar e meia xícara (chá) de água e leve ao fogo médio por cerca de 10 minutos, para apurar levemente. Reserve. 

Montagem: 
Em um recipientes, misture a champanhe com 1 xícara (chá) de água e reserve. 
Corte a massa (no sentido da maior lateral do bolo) em 25 fatias de mesma espessura e reserve.
Forre com filme plástico um recipiente redondo fundo (com 2,5 litros de capacidade e 26 cm de diâmetro) e faça uma camada com as tiras de massa, forrando o fundo e a lateral. Regue com a misture de champanhe e água e coloque metade da baba de moça. Cubra com uma camada de tiras de massa, regue novamente e coloque metade da geleia. Cubra com outra camada de tiras de massa, regue e repita o processo acima , completando o recipiente e terminando com uma camada de massa . Cubra com papel- alumínio e leve a geladeira por no mínimo 2 horas, para firmar. Desenforme sobre um prato de servir, retire o filme plástico e cubra com o chantilly. Polvilhe com as raspas de Chocolate Nestlé Classic, decore com frutas vermelhas e sirva a seguir.
",d
Bolo Gelado de Coco,"Ingredientes da Massa:
- 5 ovos (claras e gemas separadas)
- 2 xícaras (chá) de farinha de trigo
- 2 xícaras (chá) de açúcar
- 1 xícara (chá) de leite fervendo
- ½ colher (sopa) de fermento em pó


Ingredientes da Cobertura:
- 1 lata de leite condensado
- 1 xícara de leite
- 1 vidro de leite de coco
- 2 xícaras de coco ralado","Modo de Preparo da Massa:
Bata as claras em neve, depois acrescente as gemas e continue batendo, junte o açúcar, farinha, leite e por último o fermento em pó. Leve ao forno por mais ou menos uns 40 minutos


Modo de Preparo da cobertura:
Leve tudo no liquidificador , só que com 1 xícara de coco a outra xícara deixe para polvilhar por cima.

Montagem:
Depois do bolo pronto corte na própria forma coloque a cobertura e polvilhe coco ralado, depois coloque na geladeira coberto com papel aluminio",d
"Pasta de Alho
","Ingredientes:

- 3 dentes de alho
- 1 copo de leite
- 3 colheres de (sopa) de vinagre de maçã
- quanto baste de sal
- 2 copos de Óleo de milho","Modo de Preparo:
Bata no liquidificador todos os ingredientes, menos o óleo. 
Quando o óleo começar a ficar parado em cima do creme, desligue o liquidificador, mexa com uma colher, acrescente mais 3 colheres de óleo, ligue novamente e deixe bater por mais uns 2 minutos.",s
Bolo de banana de liquidificador,"Ingredientes da Massa:
- 3 ovos
- 2 xícaras de açúcar
- 1 xícara de leite
- 1/2 xícara de óleo
- 2 xícaras de farinha
- 1 colher (sopa) de fermento químico
- 8 bananas

Para o caramelo:
- 1 xícara de açúcar
- 1/2 xícara de água","Modo de preparo: 
Coloque 1 xícara de açúcar para derreter depois, despeje 1/2 xícara de água , espere dissolver o açúcar, deixe engrossar um pouco e despeje na forma

Modo de Preparo da massa:
Bata no liquidificador os ovos com o açúcar e o óleo, depois acrescente o leite. Acrescente a farinha aos poucos com o liquidificador ligado e por último o fermento, batendo só ligeiramente Reserve 
Despeje o caramelo na forma e por cima dele as bananas (uso bananas prata ou nanicas) cortadas no comprimento Por último a massa de bolo e leve para assar Asse em forno médio, preaquecido, por cerca de 40 minutos, ou até dourar",d
"Bauru de Forno
","- 1 pacote de pão de forma de preferência sem casca
- 2 ovos
- 1 copo de leite
- 50 gramas de queijo ralado
- 2 colheres de sopa de margarina
- quanto baste de presunto magro em fatias
- quanto baste de mussarela em fatias
- quanto baste de tomate em rodelas
- quanto baste de sal
- quanto baste de orégano","Bata no liquidificador o leite,o queijo ralado,os ovos e a margarina. 
Coloque num refratário ou forma, untado com margarina,uma camada de pão de fôrma,a metade da mistura batida, fatias de presunto, fatias de mussarela, rodelas de tomate temperado com azeite, outra camada de pão de fôrma e,por último,o restante da mistura do liquidificador.
Polvilhe queijo ralado e decore com tomate. 
Leve ao forno para assar.
",s
Bolo Gelado,"- 4 ovos
- 2 xícaras de açúcar
- 3 xícaras de farinha de trigo
- 1 copo de suco de laranja ( 250ml)
- 1 colher de sopa de fermento em pó

Para a cobertura:
- 1 garrafa pequena de leite de coco
- 1 garrafa de leite ( utilize a mesma garrafa do leite de coco como medida)
- 1 lata de leite condensado
- 1 pacote de coco ralado sem açúcar","Modo de preparo:
Na batedeira bata as claras em neve Acrescente o açúcar e bata por mais uns 3 minutos Coloque as gemas, o trigo, o suco e continue batendo até formar uma massa homogênea Por último o fermento, bata por mais 40 segundos na menor velocidade da batedeira Despeje a massa numa forma média e untada Asse em forno pré-aquecido em temperatura média por aproximadamente 40 minutos ou até dourar

Cobertura: 
Misture bem numa tigela o leite de coco, o leite e o leite condensado Reserve Assim que o bolo tiver assado, retire do forno e fure toda a sua superfície com garfo ou faca, assim a cobertura penetrará bem Com o bolo ainda quente e já furado despeje a cobertura sobre ele . Coloque o coco ralado por cima e leve à geladeira por aproximadamente 3 horas Corte o bolo em quadradinhos do tamanho que preferir e embrulhe com papel alumínio Conserve na geladeira Se o leite tiver fresquinho o bolo pode durar até 1 semana, isso se não acabarem com ele bem antes
",d
